Object,ComboKey,PriceListSFID,ProductSFID,AccountSFID,ExistingRecordID,CurrentPrice,NewPrice,Action,SFResult,FailureReason
Price_List_Entry__c,ACC-ML3ELS - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000003QGrnQAG,,a1W2K00000FiRFMUA3,68.82,68.820000,UPDATE,,
Price_List_Entry__c,ACC-ML3ELS - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000003QGrnQAG,,a1W2K00000FiRFNUA3,65.36,65.360000,UPDATE,,
Price_List_Entry__c,ACC-ML3ELS - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000003QGrnQAG,,a1W2K00000FiRFLUA3,61.93,61.930000,UPDATE,,
Price_List_Entry__c,ACC-QRL - DSDEAL - USD,a1U2K000009nrhPUAQ,01t6A000000asWjQAI,,a1W2K00000FiQgcUAF,106.31,106.310000,UPDATE,,
Price_List_Entry__c,ACC-QRL - DSPART - USD,a1U2K000009nrhQUAQ,01t6A000000asWjQAI,,a1W2K00000FiQgeUAF,83.93,83.930000,UPDATE,,
Price_List_Entry__c,ACC-QRL - DSDIST - USD,a1U2K000009nrhRUAQ,01t6A000000asWjQAI,,a1W2K00000FiQgdUAF,79.73,79.730000,UPDATE,,
Price_List_Entry__c,ACC-QRL - DSSPEC - USD,a1U2K000009nrk4UAA,01t6A000000asWjQAI,,a1W2K00000FiQgfUAF,75.75,75.750000,UPDATE,,
Price_List_Entry__c,ACC-QRP - DSDEAL - USD,a1U2K000009nrhPUAQ,01t6A000000aqzLQAQ,,a1W2K00000FiQggUAF,113.72,113.720000,UPDATE,,
Price_List_Entry__c,ACC-QRP - DSPART - USD,a1U2K000009nrhQUAQ,01t6A000000aqzLQAQ,,a1W2K00000FiQgiUAF,89.78,89.780000,UPDATE,,
Price_List_Entry__c,ACC-QRP - DSDIST - USD,a1U2K000009nrhRUAQ,01t6A000000aqzLQAQ,,a1W2K00000FiQghUAF,85.29,85.290000,UPDATE,,
Price_List_Entry__c,ACC-QRP - DSSPEC - USD,a1U2K000009nrk4UAA,01t6A000000aqzLQAQ,,a1W2K00000FiQgjUAF,81.02,81.020000,UPDATE,,
Price_List_Entry__c,ACC-SPARK55 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000atcpQAA,,a1W2K00000FstCtUAJ,98.01,98.010000,UPDATE,,
Price_List_Entry__c,ACC-SPARK55 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000atcpQAA,,a1W2K00000FstD3UAJ,77.44,77.440000,UPDATE,,
Price_List_Entry__c,ACC-SPARK55 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000atcpQAA,,a1W2K00000FstCuUAJ,73.81,73.810000,UPDATE,,
Price_List_Entry__c,ACC-SPARK55 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000atcpQAA,,a1W2K00000FstCyUAJ,70.18,70.180000,UPDATE,,
Price_List_Entry__c,ACC-SPARK70 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000asboQAA,,a1W2K00000FiRFSUA3,214.72,214.720000,UPDATE,,
Price_List_Entry__c,ACC-SPARK70 - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000asboQAA,,a1W2K00000FiRFTUA3,169.5,169.500000,UPDATE,,
Price_List_Entry__c,ACC-SPARK70 - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000asboQAA,,a1W2K00000FiRFVUA3,161.04,161.040000,UPDATE,,
Price_List_Entry__c,ACC-SPARK70 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000asboQAA,,a1W2K00000FiRFUUA3,152.56,152.560000,UPDATE,,
Price_List_Entry__c,ACC-V600800 - DSDEAL - USD,a1U2K000009nrhPUAQ,01t6A000000asw3QAA,,a1W2K00000FiQgkUAF,44.0,44.000000,UPDATE,,
Price_List_Entry__c,ACC-V600800 - DSPART - USD,a1U2K000009nrhQUAQ,01t6A000000asw3QAA,,a1W2K00000FiQgmUAF,35.2,35.200000,UPDATE,,
Price_List_Entry__c,ACC-V600800 - DSDIST - USD,a1U2K000009nrhRUAQ,01t6A000000asw3QAA,,a1W2K00000FiQglUAF,33.0,33.000000,UPDATE,,
Price_List_Entry__c,ACC-V600800 - DSSPEC - USD,a1U2K000009nrk4UAA,01t6A000000asw3QAA,,a1W2K00000FiQgnUAF,30.8,30.800000,UPDATE,,
Price_List_Entry__c,ACC-V600X - DSDEAL - USD,a1U2K000009nrhPUAQ,01t6A000000argdQAA,,a1W2K00000FiQgoUAF,64.03,64.030000,UPDATE,,
Price_List_Entry__c,ACC-V600X - DSPART - USD,a1U2K000009nrhQUAQ,01t6A000000argdQAA,,a1W2K00000FiQgqUAF,50.55,50.550000,UPDATE,,
Price_List_Entry__c,ACC-V600X - DSDIST - USD,a1U2K000009nrhRUAQ,01t6A000000argdQAA,,a1W2K00000FiQgpUAF,48.03,48.030000,UPDATE,,
Price_List_Entry__c,ACC-V600X - DSSPEC - USD,a1U2K000009nrk4UAA,01t6A000000argdQAA,,a1W2K00000FiQgrUAF,45.5,45.500000,UPDATE,,
Price_List_Entry__c,ACC-V900X - DSDEAL - USD,a1U2K000009nrhPUAQ,01t6A000000ar5BQAQ,,a1W2K00000FiQgsUAF,158.22,158.220000,UPDATE,,
Price_List_Entry__c,ACC-V900X - DSPART - USD,a1U2K000009nrhQUAQ,01t6A000000ar5BQAQ,,a1W2K00000FiQguUAF,124.91,124.910000,UPDATE,,
