Object,ComboKey,PriceListSFID,ProductSFID,AccountSFID,ExistingRecordID,CurrentPrice,NewPrice,Action,SFResult,FailureReason
Price_List_Entry__c,LCT100S - DEAL - USD,MISSING,01t6A000000as7kQAA,,,,83.800000,SKIP,,Price List 'DEAL' not found in Price_List__c
Price_List_Entry__c,LCT100S - PART - USD,MISSING,01t6A000000as7kQAA,,,,66.150000,SKIP,,Price List 'PART' not found in Price_List__c
Price_List_Entry__c,LCT100S - DIST - USD,MISSING,01t6A000000as7kQAA,,,,62.840000,SKIP,,Price List 'DIST' not found in Price_List__c
Price_List_Entry__c,LCT100S - SPEC - USD,MISSING,01t6A000000as7kQAA,,,,59.530000,SKIP,,Price List 'SPEC' not found in Price_List__c
Price_List_Entry__c,ACC-FLIP65 - DEAL - USD,MISSING,01t2K000006WSOPQA4,,,,77.390000,SKIP,,Price List 'DEAL' not found in Price_List__c
Price_List_Entry__c,ACC-FLIP65 - PART - USD,MISSING,01t2K000006WSOPQA4,,,,61.370000,SKIP,,Price List 'PART' not found in Price_List__c
Price_List_Entry__c,ACC-FLIP65 - DIST - USD,MISSING,01t2K000006WSOPQA4,,,,58.700000,SKIP,,Price List 'DIST' not found in Price_List__c
Price_List_Entry__c,ACC-FLIP65 - SPEC - USD,MISSING,01t2K000006WSOPQA4,,,,56.030000,SKIP,,Price List 'SPEC' not found in Price_List__c
Price_List_Entry__c,ACC-HPF650 - DEAL - USD,MISSING,01t6A000000ardlQAA,,,,68.880000,SKIP,,Price List 'DEAL' not found in Price_List__c
Price_List_Entry__c,ACC-HPF650 - PART - USD,MISSING,01t6A000000ardlQAA,,,,54.400000,SKIP,,Price List 'PART' not found in Price_List__c
Price_List_Entry__c,ACC-HPF650 - DIST - USD,MISSING,01t6A000000ardlQAA,,,,51.670000,SKIP,,Price List 'DIST' not found in Price_List__c
Price_List_Entry__c,ACC-HPF650 - SPEC - USD,MISSING,01t6A000000ardlQAA,,,,48.950000,SKIP,,Price List 'SPEC' not found in Price_List__c
Price_List_Entry__c,ACC-LGOLED - DEAL - USD,MISSING,01t6A000000arA7QAI,,,,55.580000,SKIP,,Price List 'DEAL' not found in Price_List__c
Price_List_Entry__c,ACC-LGOLED - PART - USD,MISSING,01t6A000000arA7QAI,,,,43.880000,SKIP,,Price List 'PART' not found in Price_List__c
Price_List_Entry__c,ACC-LGOLED - DIST - USD,MISSING,01t6A000000arA7QAI,,,,41.690000,SKIP,,Price List 'DIST' not found in Price_List__c
Price_List_Entry__c,ACC-LGOLED - SPEC - USD,MISSING,01t6A000000arA7QAI,,,,39.490000,SKIP,,Price List 'SPEC' not found in Price_List__c
Price_List_Entry__c,ACC-M835 - DEAL - USD,MISSING,01t6A000000aqr7QAA,,,,8.570000,SKIP,,Price List 'DEAL' not found in Price_List__c
Price_List_Entry__c,ACC-M835 - PART - USD,MISSING,01t6A000000aqr7QAA,,,,6.770000,SKIP,,Price List 'PART' not found in Price_List__c
Price_List_Entry__c,ACC-M835 - DIST - USD,MISSING,01t6A000000aqr7QAA,,,,6.420000,SKIP,,Price List 'DIST' not found in Price_List__c
Price_List_Entry__c,ACC-M835 - SPEC - USD,MISSING,01t6A000000aqr7QAA,,,,6.080000,SKIP,,Price List 'SPEC' not found in Price_List__c
Price_List_Entry__c,ACC-M8X50 - DEAL - USD,MISSING,01t6A000000asjvQAA,,,,12.000000,SKIP,,Price List 'DEAL' not found in Price_List__c
Price_List_Entry__c,ACC-M8X50 - PART - USD,MISSING,01t6A000000asjvQAA,,,,9.340000,SKIP,,Price List 'PART' not found in Price_List__c
Price_List_Entry__c,ACC-M8X50 - DIST - USD,MISSING,01t6A000000asjvQAA,,,,8.870000,SKIP,,Price List 'DIST' not found in Price_List__c
Price_List_Entry__c,ACC-M8X50 - SPEC - USD,MISSING,01t6A000000asjvQAA,,,,8.420000,SKIP,,Price List 'SPEC' not found in Price_List__c
Price_List_Entry__c,ACC-MCCM - DEAL - USD,MISSING,01t2K000006RrGJQA0,,,,57.370000,SKIP,,Price List 'DEAL' not found in Price_List__c
Price_List_Entry__c,ACC-MCCM - PART - USD,MISSING,01t2K000006RrGJQA0,,,,45.360000,SKIP,,Price List 'PART' not found in Price_List__c
Price_List_Entry__c,ACC-MCCM - DIST - USD,MISSING,01t2K000006RrGJQA0,,,,42.690000,SKIP,,Price List 'DIST' not found in Price_List__c
Price_List_Entry__c,ACC-MCCM - SPEC - USD,MISSING,01t2K000006RrGJQA0,,,,40.030000,SKIP,,Price List 'SPEC' not found in Price_List__c
Price_List_Entry__c,ACC-ML3ECW - DEAL - USD,MISSING,01t6A000003QGriQAG,,,,30.240000,SKIP,,Price List 'DEAL' not found in Price_List__c
Price_List_Entry__c,ACC-ML3ECW - PART - USD,MISSING,01t6A000003QGriQAG,,,,23.860000,SKIP,,Price List 'PART' not found in Price_List__c
