Action,PartNumber,Name,Description,IsActive,ItemStatus,SalesUnit,Authorization,PriceGroup,PLCM,Category,SF_Id
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP546B-S-3-EUK,KIP546B-S-3-EUK,"46"" Portrait Back To Back Kiosk For 3in Deep Displays",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000arZjQAI
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP546B-S-EUK,KIP546B-S-EUK,"46"" Portrait Back to Back Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000arJAQAY
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP546-EUK,KIP546-EUK,"46"" Portrait Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000arYrQAI
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP546-RED,KIP546-RED,"46"" Portrait Kiosk, Red",True,No Purchases,EA,False,ET DD,Use Up,KIOSK,01t6A000000as04QAA
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP546-S,KIP546-S,"46"" Portrait Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000asm2QAA
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, US_Price_Group_Name__c, ACU_PMPLCM__c, Category__c)",KIP546-S-EUK,KIP546-S-EUK,"46"" Portrait Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000asGvQAI
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP546-TW,KIP546-TW,KIP546-TEXTURED WHITE,True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000argSQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP546-TXTBLK,KIP546-TXTBLK,KIP546-TEXTURED BLACK,True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000atBfQAI
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP547,KIP547,"47"" Portrait Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000asm3QAA
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",KIP547B,KIP547B,"47"" Portrait Back-to-Back Kiosk",True,Active,EA,False,ET DD,Active,KIOSK,01t6A000000asnSQAQ
