Action,PartNumber,Name,Description,IsActive,ItemStatus,SalesUnit,Authorization,PriceGroup,PLCM,Category,SF_Id
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, Category__c)",VOLTA55A,VOLTA55A,"55"" VOLTA XTREME HIGH BRIGHT OUTDOOR DISPLAY",True,Active,EA,False,ET DD,,KIOSK,01t6A000002ZbsxQAC
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",LCT100S,LCT100S,"Desktop Monitor Mount For up to 38"" Monitors",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000as7kQAA
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",560-0400,560-0400,"PEM SELFCLNCH M6x1 NUT,  SS  CLS-M6-1 from McMaster Carr",True,Active,EA,False,KIOSK,,,01t2K000006S2ISQA0
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",561-0066,561-0066,PEM STUD M6X30MM,True,Active,EA,False,KIOSK,,,01t2K000006S2NoQAK
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",FMAL,FMAL,FM 600X400 Articulating Wall Mount,True,Active,EA,False,CONS,Active,MOUNT,01t6A000002ZPdHQAW
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",FMAM,FMAM,FM 400X400 Articulating Wall Mount,True,Active,EA,False,CONS,Active,MOUNT,01t6A000002ZPaIQAW
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",FMAS,FMAS,FM 100x100 Articulating Wall Mount,True,Active,EA,False,CONS,Active,MOUNT,01t6A000002ZPdIQAW
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",FMFL,FMFL,FM 600X400 Flat Wall Mount,True,Active,EA,False,CONS,Active,MOUNT,01t6A000002ZPaJQAW
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",FMTL,FMTL,FM 600x400 Tilt Mount,True,Active,EA,False,CONS,Active,MOUNT,01t6A000002ZPcqQAG
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",FMTM,FMTM,FM 400X400 Tilt Wall Mount,True,Active,EA,False,CONS,Active,MOUNT,01t6A000002ZPcHQAW
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",125-1006,125-1006,"ADAPTER BRACKET FOR DMU50SM, BLK",True,Active,EA,False,HOSP,,,01t6A000000as9GQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, US_Price_Group_Name__c)",128-0027,128-0027,"RIGHT SPRT TRAY,14"" W/LOGO HOLES",True,Active,EA,False,XGPREFAB,,,01t6A000000ar6nQAA
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",1450-203,1450-203,"TRAY STIFFNER,LRG",True,Active,EA,False,XGPREFAB,,,01t6A000000atXFQAY
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",1450-204,1450-204,"TRAY STIFFNER,SMALL",True,Active,EA,False,XGPREFAB,,,01t6A000000atXGQAY
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",1455-406,1455-406,FALSE CLNG ADAPTER,True,Active,EA,False,XGPREFAB,,,01t6A000000atXHQAY
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, US_Price_Group_Name__c)",2245-308,2245-308,"UPPER TRAY 19""",True,Active,EA,False,XGPREFAB,,,01t6A000000ar72QAA
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",47475234,47475234,"Triple Metal stud wall plate For PLA Series, 16"", 20"", 24"" stud centers",True,Active,EA,False,CORE,Use Up,,01t2K000006XLODQA4
"UPDATE (IsActive, QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c)",520-2237,520-2237,"SCR BOLT M4 X 8MM PAN PHL, ZC",True,Active,EA,False,ET DD,,,01t2K000006S2KHQA0
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",550-0001,550-0001,"POP RIVET STL 3/16X.440, BLK DM HD",True,Active,EA,False,HOSP,,,01t6A000000ar7fQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",565-0052,565-0052,LOCK KSK-5,True,Active,EA,False,HOSP,,,01t6A000000aroYQAQ
INSERT,600-0050,600-0050,STUD FINDER,True,No Request,EA,False,CONS,,,
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC-FLIP65,ACC-FLIP65,"Accessory Mounting Kit for the 65"" Samsung Flip",True,Active,EA,False,CORE,Active,MOUNT,01t2K000006WSOPQA4
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC-HPF650,ACC-HPF650,In Furniture Bracket for HPF650,True,No Purchases,EA,False,HOSP,Use Up,MOUNT,01t6A000000ardlQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC-LGOLED,ACC-LGOLED,Adapter Bracket for LG OLED TV's,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000arA7QAI
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, Category__c)",ACC-M440,ACC-M440,"Security Fastpack, M4x40",True,Active,EA,False,HOSP,Active,,01t6A000000assaQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC-M835,ACC-M835,"Security fast-pack, M8x25 & M8x35",True,Active,EA,False,HOSP,Active,MOUNT,01t6A000000aqr7QAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC-M8X50,ACC-M8X50,"Non-Security Fast Pack, M8 x 50mm (4pcs)",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asjvQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC-MCCM,ACC-MCCM,"Component Mount for SR598ML3, SR598ML3E and SS598ML3",True,Active,EA,False,CORE,Active,MOUNT,01t2K000006RrGJQA0
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC-ML3ECW,ACC-ML3ECW,Power Cord Manager for SR598ML3E,True,Active,EA,False,CORE,Active,MOUNT,01t6A000003QGriQAG
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC-ML3ELS,ACC-ML3ELS,KEYBOARD SHELF ACCESSORY,True,Active,EA,False,CORE,Active,MOUNT,01t6A000003QGrnQAG
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC-QRL,ACC-QRL,Accessory Quick Release - Landscape,True,Active,EA,False,DS,Active,MOUNT,01t6A000000asWjQAI
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC-QRP,ACC-QRP,Accessory Quick Release - Portrait,True,Active,EA,False,DS,Active,MOUNT,01t6A000000aqzLQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC-SPARK55,ACC-SPARK55,"Adaptor Brackets for 55"" Cisco Spark Board",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000atcpQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC-SPARK70,ACC-SPARK70,"Adaptor brackets for Cisco Spark 70""",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asboQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC-V600800,ACC-V600800,Adaptor accessory for 800x400mm mounting patterns,True,Active,EA,False,DS,Active,MOUNT,01t6A000000asw3QAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC-V600X,ACC-V600X,Adaptor accessory for 600x400 mounting patterns,True,Active,EA,False,DS,Active,MOUNT,01t6A000000argdQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC-V900X,ACC-V900X,Adaptor accessory for 800x400 and 900x600mm mounting patterns,True,Active,EA,False,DS,Active,MOUNT,01t6A000000ar5BQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c, Category__c)",ACC020,ACC020,Armor Lock ™ Plus Secure Cable,True,Active,EA,False,CORE,Active,,01t6A000000aqyTQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, Category__c)",ACC050,ACC050,Extension Column Stabilizer Kit,True,Active,EA,False,CORE,Active,,01t6A000000ar20QAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, Category__c)",ACC109,ACC109,Extension Column Connectors,True,Active,EA,False,CORE,Active,,01t6A000000arCAQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC120,ACC120,Internal Wood Joist Mount Ceiling Plate,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000at3jQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC166,ACC166,LG STB-5500 HOLDER ACCESSORY FOR HPF665,True,No Purchases,EA,False,CORE,Use Up,MOUNT,01t2K000006XREoQAO
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC200,ACC200,Concrete Expansion Anchors 2PK,True,No Purchases,EA,False,CORE,Use Up,MOUNT,01t6A000000ar8xQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, Category__c)",ACC210,ACC210,Concrete Expansion Anchors 4PK,True,Active,EA,False,CORE,Active,,01t6A000000arCBQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, Category__c)",ACC215,ACC215,"Metal Stud Fastener kit, 2PK",True,Active,EA,False,CORE,Active,,01t6A000000arCLQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC217,ACC217,Extension Column Shelf,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asz8QAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC230,ACC230,Concrete Anchors 50PK 8mm,True,Active,EA,False,CORE,Use Up,MOUNT,01t6A000000arGBQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, Category__c)",ACC234,ACC234,Concrete Anchors 4PK 8mm,True,Active,EA,False,CORE,Active,,01t6A000000asKmQAI
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c, Category__c)",ACC244,ACC244,Concrete Anchors 4 pack 10mm,True,Active,EA,False,CORE,Active,,01t6A000000arGCQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC310VWC4,ACC310VWC4,"Accessory feet - 4 pack, Use with DS-C VW Carts",True,Active,EA,False,DS,Active,MOUNT,01t6A000000ar0qQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC310VWC6,ACC310VWC6,"Accessory feet - 6 pack, Use with DS-C555-4x2",True,Active,EA,False,DS,Active,MOUNT,01t6A000000arNCQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC415,ACC415,"Metal Stud Fastener Kit, 4PK",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000arWtQAI
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC515,ACC515,"Metal Stud Fastener Kit, 50PK",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000aqwuQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC550,ACC550,Ceiling Plate For Unistrut Adaptor in Truss Ceilings,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000at8rQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC556,ACC556,Ceiling Plate For Cathedral Ceiling,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000at4QQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC557,ACC557,Ceiling Plate For Truss Ceiling,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asNKQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC558,ACC558,"Ceiling Plate For I-Beam width of 4""-8""",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asNLQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC559,ACC559,"Ceiling Plate For I-Beam width of 7""-12""",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asNMQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC560,ACC560,Ceiling Plate For Wood Joist and Structural Ceiling,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000atBCQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC600,ACC600,Multi-Display Interface Bracket,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asNOQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC615,ACC615,Metal Stud Fastener Kit 6PK,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000arPCQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC640,ACC640,"Escutcheon Ring For 1.9"" DIA Pole",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asNPQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC640-B,ACC640-B,"Escutcheon Ring For 1.9"" DIA Pole Black",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asrmQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC640-W,ACC640-W,"Escutcheon Ring For 1.9"" DIA Pole White",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000atEkQAI
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC666,ACC666,13' Safety Belt,True,Active,EA,False,CORE,Use Up,MOUNT,01t6A000000asNQQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC912,ACC912,Ceiling Plate For Cathedral Ceiling,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asuPQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC952,ACC952,Above Display SUF Security Lock Accessory,True,Active,EA,False,CORE,Use Up,MOUNT,01t6A000000ataxQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC954,ACC954,Security Kit For PTM200 and PTM400 Series,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000aslMQAQ
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",ACC957,ACC957,Security Fastner Kit - Outdoor,False,Inactive,EA,False,CORE,,,01t6A000000asZBQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC964,ACC964,PC/Keyboard Acessory For SC590,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000atExQAI
"UPDATE (US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",ACC973,ACC973,VESA® 400 x 400mm Adaptor Plates,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000arOOQAY
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",ACCSH100,ACCSH100,"AV WALL SHELF, SNGL (RTBOX)",True,No Purchases,EA,False,CORE,Active,MOUNT,01t6A000000ar3OQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACCSH200,ACCSH200,"AV WALL SHELF, SINGLE W/GLASS",True,No Purchases,EA,False,CORE,Active,MOUNT,01t6A000000aqpcQAA
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",ACCSH300,ACCSH300,"AV WALL SHELF, DUAL W/GLASS",True,Active,EA,False,CONS,Active,MOUNT,01t6A000000aqpdQAA
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c)",ACCXT400,ACCXT400,SAX IN-WALL ACCESSORY WITH AC SURGE,False,Inactive,EA,False,CORE,,MOUNT,01t6A000000ar16QAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ACCXT402,ACCXT402,SFX-STX IN-WALL ACC WITH AC SURGE,True,No Purchases,EA,False,CORE,Use Up,MOUNT,01t6A000000aswlQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ADD012018,ADD012018,"12""-18"" Multi-Display Adjustable Drop Column",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asNRQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ADD018024,ADD018024,"18""-24"" Multi-Display Adjustable Drop Column",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000ar63QAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ADD0203,ADD0203,2'-3' Multi-Display Adjustable Drop Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asNSQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ADD0305,ADD0305,3'-5' Multi-Display Adjustable Drop Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asNTQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ADD0507,ADD0507,5'-7' Multi-Display Adjustable Drop Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asNUQAY
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c)",ADD0608,ADD0608,6'-8' Multi-Display Adjustable Drop Column,False,Inactive,EA,False,CORE,,MOUNT,01t6A000000asNVQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ADD0810,ADD0810,8'-10' Multi-Display Adjustable Drop Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000arPZQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ADD1012,ADD1012,10'-12' Multi-Display Adjustable Drop Column,True,No Purchases,EA,False,CORE,Active,MOUNT,01t6A000000atJ4QAI
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ADD102,ADD102,2' Multi-Display Fixed Length Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000atJ5QAI
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c)",ADD103,ADD103,3' Multi-Display Fixed Length Extension Column,False,Inactive,EA,False,CORE,,MOUNT,01t6A000000atJ6QAI
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c)",ADD104,ADD104,4' Multi-Display Fixed Length Extension Column,False,Inactive,EA,False,CORE,,MOUNT,01t6A000000aryAQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ADD105,ADD105,5' Multi-Display Fixed Length Extension Column,True,No Purchases,EA,False,CORE,Use Up,MOUNT,01t6A000000atJ7QAI
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ADD106,ADD106,6' Multi-Display Fixed Length Extension Column,True,No Purchases,EA,False,CORE,Use Up,MOUNT,01t6A000000atJ8QAI
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",ADD107,ADD107,7' Multi-Display Fixed Length Extension Column,True,No Purchases,EA,False,CORE,Use Up,MOUNT,01t6A000000arseQAA
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c)",ADD108,ADD108,8' Multi-Display Fixed Length Extension Column,False,Inactive,EA,False,CORE,,MOUNT,01t6A000000atJ9QAI
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",ADD110,ADD110,10' Multi-Display Fixed Length Extension Column,True,No Purchases,EA,False,CORE,Use Up,MOUNT,01t6A000000at45QAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC006009,AEC006009,"6""-9"" Adjustable Extension Column",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000atAJQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC006009-S,AEC006009-S,"6""-9""  Adjustable Extension Column",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000atAKQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC006009-W,AEC006009-W,"6""-9""  Adjustable Extension Column",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000atUUQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC009012,AEC009012,"9""-12"" Adjustable Extension Column",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000arfMQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC009012-S,AEC009012-S,"9""-12"" Adjustable Extension Column",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000arfNQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC009012-W,AEC009012-W,"9""-12"" Adjustable Extension Column",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000arfOQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC012018,AEC012018,"12""-18"" Adjustable Extension Column",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000aqlMQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC012018-S,AEC012018-S,"12""-18"" Adjustable Extension Column",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000atUVQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC012018-W,AEC012018-W,"12""-18""Adjustable Extension Column",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000atUWQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC018024,AEC018024,"18""-24"" Adjustable Extension Column",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000atUXQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC018024-S,AEC018024-S,"18""-24"" Adjustable Extension Column",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000atUYQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC018024-W,AEC018024-W,"18""-24"" Adjustable Extension Column",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000atUZQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0203,AEC0203,2'-3' Adjustable Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000ar5UQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0203-S,AEC0203-S,2'-3' Adjustable Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000ar5VQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0203-W,AEC0203-W,2'-3' Adjustable Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000ar5WQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0305,AEC0305,3'-5' Adjustable Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000ar8vQAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0305-S,AEC0305-S,3'-5' Adjustable Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asqNQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0305-W,AEC0305-W,3'-5' Adjustable Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000aqhLQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0406,AEC0406,4'-6' Adjustable Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000aqhMQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0406-S,AEC0406-S,4'-6' Adjustable Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000aqhNQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0406-W,AEC0406-W,4'-6' Adjustable Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000aqhOQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0507,AEC0507,5'-7' Adjustable Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000aqyXQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0507-S,AEC0507-S,5'-7' Adjustable Extension Column,True,Active,EA,False,CORE,Use Up,MOUNT,01t6A000000arTJQAY
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0507-W,AEC0507-W,5'-7' Adjustable Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000arTKQAY
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0608,AEC0608,6’- 8’ Adjustable Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000aqhPQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0608-S,AEC0608-S,6’- 8’ Adjustable Extension Column,True,Active,EA,False,CORE,Use Up,MOUNT,01t6A000000aqhQQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0608-W,AEC0608-W,6’- 8’ Adjustable Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asqSQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0810,AEC0810,8’-10’ Adjustable Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000aqhRQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0810-S,AEC0810-S,8’-10’Adjustable Extension Column,True,Active,EA,False,CORE,Use Up,MOUNT,01t6A000000aqhSQAQ
"UPDATE (Description, US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC0810-W,AEC0810-W,8’-10’ Adjustable Extension Column,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000aqhTQAQ
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC1012,AEC1012,10'-12' Adjustable Extension Column - Blk,True,Active,EA,False,CORE,Active,MOUNT,01t6A000000as66QAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC1012-S,AEC1012-S,10'-12'  Adjustable Extension Column,True,No Purchases,EA,False,CORE,Use Up,MOUNT,01t6A000000as67QAA
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",AEC1012-W,AEC1012-W,10'-12'  Adjustable Extension Column,True,No Purchases,EA,False,CORE,Use Up,MOUNT,01t6A000000as68QAA
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c)",BM-5005A,BM-5005A,"Optoma 12"" -18"" Extension Column",False,No Sales,EA,False,CORE,,MOUNT,01t6A000000asiuQAA
"UPDATE (US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",CMJ300,CMJ300,"Ceiling Plate For 4""x4"" Unistrut® and Structural Ceiling",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asgvQAA
"UPDATE (US_Description__c, QuantityUnitOfMeasure, Sales_Part_Status__c)",CMJ310,CMJ310,"Ceiling Plate For 8""x8"" Unistrut® and Structural Ceiling",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000asgwQAA
